,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target
F1817,0.442699333938433,0.81496202946499,0.448325418770282,0.481950559200536,0.867325367387689,0.472610753793325,0.490594017866937,0.414369056988092,0.338347166734911,0.119051404450754,1.28414233830919
F1594,0.0910817540390071,0.45705631513689,0.465156090845037,0.393776255033925,0.651124164079566,0.566256882151239,0.475085875526529,0.652174441353273,0.324283498707819,0.373761548865461,-1.19594041744461
F2744,0.273495600674892,0.802941263858149,0.442640754647457,0.494647756838321,0.633293494603252,0.537111646237471,0.679665100996141,0.365615620018696,0.737258574133382,0.273499901350214,0.805526404988656
F1789,0.243903418597444,0.433619165201163,0.668563004285628,0.547760203889412,0.568330486885373,0.620591324382295,0.463245382472395,0.541534981026043,0.700380970430466,0.479922145174058,0.625636622432599
F2095,0.310480011581072,0.528255784624446,0.690450369442993,0.546891989392522,0.481242170140941,0.663998687226744,0.450655517021189,0.443635998014533,0.583184232255602,0.625329803461645,-0.658921336071732
F618,0.479261725714885,0.461163300256508,0.662113847332753,0.489260491771394,0.448475290318067,0.519854820435731,0.420026339669117,0.587497035140976,0.606015129417041,0.355212121068453,0.3205697685706
F1527,0.240644750915257,0.911273060294652,0.583555982242002,0.298158001718443,0.448924174272409,0.536461367142678,0.197563667056665,0.239379628103533,0.489854165701247,0.778697089511958,1.56871131138138
F2041,0.21221872521803,0.551107788302041,0.710467009085353,0.560494114769357,0.607705304144132,0.475433704307916,0.486470838076531,0.48003207118194,0.651234386107132,0.497842901640652,0.909163053879458
F1261,0.225872330532128,0.510880989342179,0.509582349930436,0.555749692592315,0.721531058017182,0.430411927453408,0.509403863187444,0.472739114922669,0.641741806089832,0.397479941827441,0.719029005402815
F2466,0.283649896893246,0.464017083368043,0.695072072322346,0.45446646345124,0.648247717869795,0.559097669326926,0.348276841408626,0.542273332926472,0.601743990383058,0.340890805761432,-0.169587706455358
F1988,0.169643812696229,0.337067468694058,0.501480486996007,0.567870436931426,0.628616416375262,0.520465253118915,0.530144874526374,0.569324427615126,0.56263668134058,0.448707278815864,-0.232654952998279
F424,0.345187312772448,0.660116117823747,0.639840770369809,0.496378530911246,0.465629935856793,0.522449098315847,0.472181272360702,0.532326768842817,0.690437563025351,0.389751822744854,0.565571139403596
F388,0.251858293396573,0.814485280848385,0.416697527349248,0.426662955248906,0.255101237939305,0.183792915258342,0.733802176483414,0.396325230986187,0.762939165187872,0.356762499245831,-0.324826942706597
F1067,0.207564841654398,0.706025967985629,0.639209037521184,0.415773857435724,0.311026964878681,0.582792744164864,0.620084573454782,0.231329910526827,0.606814826478077,0.260537910076663,-1.05454415591756
F2734,0.10809547355088,0.498611289177236,0.519489906353413,0.398439530474489,0.775158111389235,0.577428597202201,0.388504445847489,0.551580209648453,0.457184152825923,0.434667811629351,-1.98041933891942
F1492,0.16840341813094,0.366481511225832,0.644051950540238,0.648324273988203,0.500603710242352,0.548245798427139,0.524073439422748,0.267244153561004,0.587734574902328,0.477019263535088,-0.305560458355262
F2079,0.213197576803917,0.349079147367535,0.720676726811238,0.535516362038415,0.695798674262727,0.546009663996756,0.418425999580936,0.464060631437038,0.470636345477335,0.381057709337765,0.541906484949513
F452,0.412171483913352,0.552575969856194,0.839948171312915,0.509853195984198,0.555322188246815,0.629599153101558,0.328905910191802,0.469205385257878,0.721088512473234,0.308627039829387,0.17634682431902
F1240,0.273037469052904,0.515464216098144,0.620251748367613,0.512553302489688,0.544563979012528,0.598697597644962,0.448507071982713,0.699090845964783,0.618794709532901,0.299332936967092,-0.295779161908774
F408,0.23922489044411,0.574261029975102,0.575286042491473,0.517251887830815,0.745125525352366,0.602759766674076,0.568234353868321,0.400233459077099,0.610134102703108,0.297449922998784,-0.624548409286683
F428,0.305824214254275,0.785142427907403,0.572303297533203,0.412860488950772,0.579810206691514,0.558826971325537,0.513571834464537,0.465442207989895,0.716828442695086,0.294154579988939,0.822241021883593
F2946,0.496201040282556,0.504358519327956,0.707891271505653,0.63617813670604,0.634008792774304,0.472781012143966,0.350581752604852,0.527079756604684,0.470557468477333,0.446247153756318,0.807871704088406
F1023,0.189995918777131,0.293927913028517,0.599013013991673,0.588995840505275,0.510848105809562,0.588146261355134,0.414990065972087,0.459110128869761,0.605628880158264,0.372210473418925,0.727752975683022
F1486,0.399655286033531,0.680578571237522,0.15391197706577,0.805172707274382,0.647336060897454,0.641013987514851,0.357596244196979,0.480979358312611,0.517645001698486,0.413822202687223,2.03017692912864
F1960,0.171607339381149,0.339039273732476,0.36754077287184,0.513622199993567,0.661819796930186,0.512979206371854,0.494440414467392,0.608862820818959,0.677271263162888,0.421062894981975,1.15973386809736
F763,0.767868583838004,0.412291751805259,0.614238694134088,0.275105985622084,0.756622570197748,0.368635689320272,0.542561592313462,0.486272823292364,0.628852640207389,0.337575830064598,-1.93152565291337
F701,0.639102869651958,0.448998388683248,0.658399459139688,0.260688727165833,0.466064040011948,0.554554181471794,0.498753649756094,0.328267871984086,0.515534174742594,0.373205721219155,-0.479154650390276
F1102,0.17101330039903,0.552136794814669,0.543393634982524,0.530641953399414,0.50552025202545,0.833599126975072,0.830822520438013,0.744654570718078,0.400775146856211,0.487381454502174,-2.07664525904627
F1822,0.379590074771829,0.62160341900102,0.283169868666607,0.638258264369484,0.812181016968567,0.499778344772133,0.427202457053616,0.418169349829708,0.568384578595184,0.280437775107037,0.519532611272726
F1095,0.432542511065156,0.768255137710888,0.684210663464442,0.357953359608734,0.607241138648166,0.622130575782375,0.19124600301301,0.507845364832441,0.547516424973343,0.256795032817554,-1.32616846107579
F1842,0.390761090923623,0.725761226536682,0.549768550725838,0.651416440045591,0.192628771061272,0.21730579600423,0.184481167283433,0.267076354639403,0.452220117391133,0.183395517031195,-0.982068871885275
F3108,0.311304395803335,0.170880350532386,0.532411500834775,0.431667298703811,0.493214286334157,0.66050238977556,0.547840221190883,0.545895960242026,0.760308905744182,0.394576436028923,0.37690912771638
F462,0.352383969785292,0.524453924561487,0.585024781286357,0.594637072782445,0.41069089701061,0.683835008572813,0.508061521090412,0.487271467050735,0.590730139411075,0.255567284529988,-0.174196819165243
F1121,0.213864243334015,0.300865368345554,0.466557577193548,0.569606948105627,0.517076285753859,0.60520559168636,0.403958315647391,0.554789175956658,0.798657316043391,0.434740345288475,-0.639840120134769
F2440,0.188472333024069,0.691959386634594,0.783052321404592,0.302855152576641,0.448899869065338,0.797811606886273,0.666180646779609,0.239277903143978,0.460037862143581,0.253466445203055,-0.100022478980637
F1478,0.284572628047509,0.567874959710095,0.624836247805771,0.368279677031564,0.595565816430657,0.554035975109946,0.455650431965076,0.538631768660528,0.654724723951052,0.455881284976283,0.384187085400355
F2690,0.155910763878079,0.371782968412172,0.472121414602753,0.536838328533903,0.782170160093445,0.42458274163569,0.457952017449456,0.422685584174809,0.466899292691343,0.376909111685168,0.436249077101008
F1378,0.209559569119645,0.483259566205019,0.584440525502358,0.544461007072943,0.496626942343712,0.4118356098692,0.619179242194821,0.526921081310219,0.755071186333368,0.386077821064394,0.414170868910645
F1194,0.25754221448904,0.640588520091254,0.453399776778315,0.419570771352278,0.674128070789599,0.519168691231512,0.240235890538209,0.328851287954674,0.655915164385888,0.387202456056319,2.18712383101014
F1387,0.365163799908156,0.605737345775673,0.589994587051843,0.411163337751272,0.56678330071949,0.527191196432706,0.490522701471048,0.566210288956683,0.589319514355141,0.333061019880991,-0.519545289067729
F1941,0.281539891036331,0.618737536406675,0.676775734951901,0.427773709532379,0.269558181590913,0.56921918212969,0.664748178310854,0.256734203586943,0.519903695934164,0.165906834076498,-0.998262416115779
F2981,0.387994317539265,0.807801538896044,0.397262711436975,0.456173976978242,0.442863415396664,0.393501625591725,0.519825221124723,0.656709879681626,0.532551888193481,0.471486549118803,0.241042830326369
F3230,0.272864443733197,0.710059727942032,0.60732104140797,0.568365305314747,0.426086234908813,0.498204620087166,0.456954498332233,0.253431407988192,0.778885248285457,0.434347482933193,0.235195980250275
F991,0.20549287083395,0.535944536283986,0.661312939057264,0.601338752121589,0.470375761632751,0.424867937391463,0.513593613902992,0.30328279488685,0.712463332355356,0.190419687145324,0.444232517936753
F2499,0.296747393142517,0.526601481383326,0.631441454052751,0.4658768566192,0.593152250237821,0.559888138084092,0.520721876329846,0.62459359185387,0.673202185100319,0.442206690409262,-2.54072768168862
F3161,0.184891997786498,0.16727406728715,0.387919293920561,0.526847656438734,0.652237824351357,0.505271955147019,0.535194435664976,0.611990698579198,0.452842938357512,0.346941711150175,-0.836274981326481
F328,0.188815253946849,0.557254012189398,0.695723365636448,0.466405125032112,0.642462042413533,0.391342640995683,0.538108380453721,0.527947988669406,0.606035968784086,0.59309513239796,1.42255918227771
F3010,0.276849365509212,0.532544049406636,0.623565971226029,0.515250316026263,0.427601043587175,0.649532455910862,0.514726735845157,0.454144611550823,0.505107457872479,0.408111042986116,1.74473607802581
F409,0.119006997090895,0.539404330008164,0.667879846068059,0.356214876206224,0.881830634081876,0.404570979891416,0.523810036058628,0.538948816472812,0.4798842017494,0.344467943571128,1.3860659557624
F3014,0.22465150279426,0.434611695989539,0.639049132122481,0.61915353964239,0.576768796723647,0.657507652633599,0.535550669246545,0.397077923787645,0.70643630589739,0.346150113405618,2.17906963448636
F1019,0.16043988219514,0.570083011439976,0.568344868521286,0.477710985217914,0.653190287876082,0.555268518708697,0.451182725867361,0.442016120242857,0.644514221351718,0.335831035408454,-0.892879855223387
F3072,0.297740195314582,0.456250974029063,0.647793763519011,0.558633238623589,0.662175533918394,0.38783914155751,0.463803278442573,0.557857258404577,0.665601094159533,0.644639040868448,2.1462063429827
F1992,0.313401139601436,0.767367673836802,0.613727019910833,0.399101391797437,0.467580601620355,0.296074342866813,0.60646181647852,0.635311980758135,0.692912585665,0.452775244235981,-2.03392336755175
F2250,0.232056507089568,0.687758098827508,0.539624438574467,0.541245653326204,0.641716134532266,0.480453494074942,0.454965659026545,0.251701381177864,0.750588870962688,0.518620907520958,-0.827929669075962
F2890,0.388885493602428,0.837013589873342,0.58257581471914,0.531638676767725,0.455618964306596,0.53205804705029,0.563353243033165,0.400520215136468,0.538046456687794,0.38231292836016,1.16312348652633
